DATE,MORTGAGE15US_Monthly Change,MORTGAGE30US_Monthly Change,MORTGAGE5US_Monthly Change,Rent Index Mon_Chg,NASDAQCOM Mon_Chg,WILL5000 Per_Mon_Chg,House Completed,House Under Construction,5yr_Maturity Per_Mon_Chg,10yr_Maturity Per_Mon_Chg,30yr_Maturity Per_Mon_Chg,CPI Mon_Chg,House Index Monthly Change,Year,Month
2000-01-01,0.0,0.0,0.0,0.0,0.0,0.0,12.62,6.79,0.0,0.0,0.0,0.0,0.0,2000,1
2000-02-01,0.1299999999999999,0.1149999999999984,,0.2211199999999991,19.19474,2.11918,13.26,6.78,1.5197568389057698,-3.892215568862272,-6.033182503770731,0.4134700000000038,0.7869999999999919,2000,2
2000-03-01,-0.1005000000000002,-0.084999999999999,,0.3316700000000026,-3.1433699999999902,5.811405849518185,13.12,6.75,-2.694610778443109,-6.074766355140183,-2.889245585874809,0.5906599999999997,0.7879999999999967,2000,3
2000-04-01,-0.032,-0.0875000000000003,,0.2211199999999991,-18.07378,-5.277494328285175,13.07,6.72,-3.692307692307696,3.316749585406305,-3.305785123966945,-0.0590600000000023,0.7950000000000017,2000,4
2000-05-01,0.3824999999999994,0.3625000000000007,,0.2763899999999921,-11.667740000000007,-3.609141504042785,13.34,6.66,6.869009584664547,0.9630818619582602,5.12820512820514,0.1771999999999991,0.7550000000000097,2000,5
2000-06-01,-0.1904999999999992,-0.2270000000000003,,0.3316800000000057,14.343900000000003,4.332648369034552,11.9,6.63,-5.829596412556063,-4.133545310015895,-3.5772357723577333,0.5906700000000029,0.7459999999999951,2000,6
2000-07-01,-0.1269999999999997,-0.1404999999999994,,0.3869499999999988,-5.053359999999998,-2.1161609331548887,11.87,6.58,-1.9047619047619069,0.1658374792703115,-1.349072512647556,0.2953299999999927,0.6299999999999955,2000,7
2000-08-01,-0.1025,-0.120000000000001,,0.3869600000000019,11.150279999999997,7.124587656922618,12.31,6.59,-1.941747572815536,-5.132450331125821,-2.2222222222222205,0.0,0.7139999999999986,2000,8
2000-09-01,-0.1585,-0.1154999999999999,,0.3316700000000026,-13.540170000000003,-4.668820805740655,11.75,6.56,-2.145214521452144,1.221640488656185,1.923076923076929,0.5315999999999974,0.7700000000000102,2000,9
2000-10-01,-0.1340000000000003,-0.1169999999999999,,0.3869600000000019,-7.694490000000002,-2.193811586663032,11.76,6.6,-2.5295109612141564,-0.5172413793103492,-0.514579759862783,0.1772000000000133,0.8429999999999893,2000,10
2000-11-01,-0.0524999999999993,-0.0499999999999998,,0.3316700000000026,-19.58456,-10.05236331491502,12.27,6.55,-1.3840830449827002,-5.025996533795479,-0.3448275862068892,0.1771999999999991,0.9200000000000016,2000,11
2000-12-01,-0.3615000000000004,-0.3630000000000004,,0.3869599999999877,-3.233469999999997,1.6669739682593063,12.27,6.55,-9.29824561403509,-6.569343065693436,-5.017301038062285,0.2362699999999904,0.8380000000000081,2000,12
2001-01-01,-0.4160000000000003,-0.3494999999999999,,0.3316700000000026,7.669629999999998,3.740838118469101,11.22,6.7,-5.996131528046414,1.3671875000000056,0.9107468123861534,0.5906599999999997,0.7079999999999984,2001,1
2001-02-01,0.0,0.0175,,0.3869499999999988,-15.757489999999995,-9.548221411688148,11.98,6.72,0.6172839506172707,-5.202312138728332,-1.6245487364620912,0.2362700000000046,0.6529999999999916,2001,2
2001-03-01,-0.1319999999999996,-0.0979999999999998,,0.4422399999999982,-7.907160000000005,-6.822055630652624,11.93,6.76,-5.112474437627812,0.2032520325203209,-2.0183486238532167,0.0590700000000055,0.6080000000000041,2001,3
2001-04-01,0.0869999999999997,0.1254999999999997,,0.386950000000013,7.00394,8.140350938242618,12.42,6.83,2.5862068965517264,8.519269776876266,5.805243445692893,0.1771999999999991,0.5430000000000064,2001,4
2001-05-01,0.08,0.0674999999999999,,0.4975099999999912,-0.1459199999999967,0.8491645459292849,12.24,6.87,3.57142857142857,1.4953271028037398,2.30088495575221,0.5315999999999974,0.5120000000000005,2001,5
2001-06-01,0.0250000000000003,0.0150000000000005,,0.3869600000000019,1.2701899999999997,-1.7490639883809844,12.83,6.88,-2.4340770791075075,-0.1841620626150973,-1.9031141868512167,0.2362699999999904,0.6329999999999956,2001,6
2001-07-01,-0.0175,-0.0324999999999997,,0.3869499999999988,-3.3857399999999984,-1.741357353121967,12.73,6.89,-1.039501039501036,-6.457564575645749,-1.0582010582010517,-0.1771999999999991,0.695999999999998,2001,7
2001-08-01,-0.1825000000000001,-0.1775000000000002,,0.3869600000000019,-5.626400000000004,-6.186555997867721,12.81,6.92,-3.991596638655452,-4.339250493096659,-2.317290552584668,0.0,0.6760000000000019,2001,8
2001-09-01,-0.1600000000000001,-0.1325000000000002,,0.442229999999995,-7.781799999999997,-9.054976879012004,12.62,6.9,-9.846827133479216,-5.154639175257732,0.0,0.4134600000000006,0.6440000000000055,2001,9
2001-10-01,-0.2424999999999997,-0.2000000000000001,,0.3869499999999988,4.857439999999997,2.4459963643623333,13.34,6.81,-5.097087378640776,-6.52173913043478,-2.9197080291970825,-0.2953299999999927,0.4969999999999999,2001,10
2001-11-01,0.0484999999999997,0.0405000000000006,,0.3869600000000019,6.100470000000001,7.498223760167039,12.42,6.83,1.5345268542199502,11.16279069767443,-3.7593984962406046,-0.0590700000000055,0.5459999999999923,2001,11
2001-12-01,0.3965000000000005,0.407,,0.4422300000000092,0.5030000000000001,1.6733612591202405,13.51,6.73,10.579345088161196,6.066945606694561,7.031250000000005,-0.0590600000000023,0.597999999999999,2001,12
