DATE,MORTGAGE5US
2005-01-01,5.0375000000000000
2005-02-01,5.0225000000000000
2005-03-01,5.2960000000000000
2005-04-01,5.2650000000000000
2005-05-01,5.1275000000000000
2005-06-01,5.0640000000000000
2005-07-01,5.2175000000000000
2005-08-01,5.3350000000000000
2005-09-01,5.3100000000000000
2005-10-01,5.5675000000000000
2005-11-01,5.7950000000000000
2005-12-01,5.7840000000000000
2006-01-01,5.7600000000000000
2006-02-01,5.9175000000000000
2006-03-01,5.9820000000000000
2006-04-01,6.1525000000000000
2006-05-01,6.2175000000000000
2006-06-01,6.2800000000000000
2006-07-01,6.3575000000000000
2006-08-01,6.1820000000000000
2006-09-01,6.0800000000000000
2006-10-01,6.0875000000000000
2006-11-01,6.0220000000000000
2006-12-01,5.9450000000000000
2007-01-01,6.0225000000000000
2007-02-01,6.0000000000000000
2007-03-01,5.9040000000000000
2007-04-01,5.9125000000000000
2007-05-01,5.9780000000000000
2007-06-01,6.3050000000000000
2007-07-01,6.3225000000000000
2007-08-01,6.3320000000000000
2007-09-01,6.2125000000000000
2007-10-01,6.0925000000000000
2007-11-01,5.9140000000000000
2007-12-01,5.8600000000000000
2008-01-01,5.4520000000000000
2008-02-01,5.3000000000000000
2008-03-01,5.5375000000000000
2008-04-01,5.5775000000000000
2008-05-01,5.6400000000000000
2008-06-01,5.7725000000000000
2008-07-01,5.9260000000000000
2008-08-01,6.0225000000000000
2008-09-01,5.8825000000000000
2008-10-01,6.0920000000000000
2008-11-01,5.9750000000000000
2008-12-01,5.6500000000000000
2009-01-01,5.3125000000000000
2009-02-01,5.1475000000000000
2009-03-01,5.0025000000000000
2009-04-01,4.8760000000000000
2009-05-01,4.8325000000000000
2009-06-01,4.9950000000000000
2009-07-01,4.8040000000000000
2009-08-01,4.6800000000000000
2009-09-01,4.5300000000000000
2009-10-01,4.3940000000000000
2009-11-01,4.2675000000000000
2009-12-01,4.3320000000000000
2010-01-01,4.3200000000000000
2010-02-01,4.1850000000000000
2010-03-01,4.0975000000000000
2010-04-01,4.0920000000000000
2010-05-01,3.9500000000000000
2010-06-01,3.8975000000000000
2010-07-01,3.7880000000000000
2010-08-01,3.5775000000000000
2010-09-01,3.5420000000000000
2010-10-01,3.4500000000000000
2010-11-01,3.3725000000000000
2010-12-01,3.6760000000000000
2011-01-01,3.7150000000000000
2011-02-01,3.8200000000000000
2011-03-01,3.6680000000000000
2011-04-01,3.6550000000000000
2011-05-01,3.4425000000000000
2011-06-01,3.2860000000000000
2011-07-01,3.2775000000000000
2011-08-01,3.1150000000000000
2011-09-01,2.9900000000000000
2011-10-01,3.0275000000000000
2011-11-01,2.9550000000000000
2011-12-01,2.8840000000000000
2012-01-01,2.8375000000000000
2012-02-01,2.8125000000000000
2012-03-01,2.8660000000000000
2012-04-01,2.8350000000000000
2012-05-01,2.8320000000000000
2012-06-01,2.8000000000000000
2012-07-01,2.7400000000000000
2012-08-01,2.7720000000000000
2012-09-01,2.7350000000000000
2012-10-01,2.7375000000000000
2012-11-01,2.7340000000000000
2012-12-01,2.7000000000000000
2013-01-01,2.6840000000000000
2013-02-01,2.6300000000000000
2013-03-01,2.6325000000000000
2013-04-01,2.6125000000000000
2013-05-01,2.6100000000000000
2013-06-01,2.8500000000000000
2013-07-01,3.1725000000000000
2013-08-01,3.2100000000000000
2013-09-01,3.1700000000000000
2013-10-01,3.0220000000000000
2013-11-01,2.9650000000000000
2013-12-01,2.9725000000000000
2014-01-01,3.1140000000000000
2014-02-01,3.0650000000000000
2014-03-01,3.0600000000000000
2014-04-01,3.0675000000000000
2014-05-01,3.0060000000000000
2014-06-01,2.9900000000000000
2014-07-01,2.9880000000000000
2014-08-01,2.9675000000000000
2014-09-01,3.0250000000000000
2014-10-01,2.9760000000000000
2014-11-01,3.0025000000000000
2014-12-01,2.9780000000000000
2015-01-01,2.8925000000000000
2015-02-01,2.9375000000000000
2015-03-01,2.9650000000000000
2015-04-01,2.8640000000000000
2015-05-01,2.8925000000000000
2015-06-01,2.9875000000000000
2015-07-01,2.9600000000000000
2015-08-01,2.9300000000000000
2015-09-01,2.9175000000000000
2015-10-01,2.8900000000000000
2015-11-01,2.9950000000000000
2015-12-01,3.0380000000000000
2016-01-01,2.9775000000000000
2016-02-01,2.8300000000000000
2016-03-01,2.8960000000000000
2016-04-01,2.8325000000000000
2016-05-01,2.8125000000000000
2016-06-01,2.7760000000000000
2016-07-01,2.7500000000000000
2016-08-01,2.7450000000000000
2016-09-01,2.8140000000000000
2016-10-01,2.8275000000000000
2016-11-01,2.9850000000000000
2016-12-01,3.2260000000000000
2017-01-01,3.2425000000000000
2017-02-01,3.1950000000000000
2017-03-01,3.2140000000000000
2017-04-01,3.1475000000000000
2017-05-01,3.1175000000000000
2017-06-01,3.1360000000000000
2017-07-01,3.2200000000000000
2017-08-01,3.1520000000000000
2017-09-01,3.1625000000000000
2017-10-01,3.1800000000000000
2017-11-01,3.2400000000000000
2017-12-01,3.3925000000000000
2018-01-01,3.4725000000000000
2018-02-01,3.5950000000000000
2018-03-01,3.6520000000000000
2018-04-01,3.6600000000000000
2018-05-01,3.7900000000000000
2018-06-01,3.8175000000000000
2018-07-01,3.8350000000000000
2018-08-01,3.8740000000000000
2018-09-01,3.9375000000000000
2018-10-01,4.0800000000000000
2018-11-01,4.1060000000000000
2018-12-01,4.0225000000000000
2019-01-01,3.9080000000000000
2019-02-01,3.8675000000000000
2019-03-01,3.8250000000000000
2019-04-01,3.7525000000000000
2019-05-01,3.6500000000000000
2019-06-01,3.4750000000000000
