DATE,IURNSA
2000-01-01,2.1600000000000000
2000-02-01,2.0750000000000000
2000-03-01,1.9500000000000000
2000-04-01,1.6400000000000000
2000-05-01,1.4500000000000000
2000-06-01,1.5000000000000000
2000-07-01,1.6200000000000000
2000-08-01,1.5750000000000000
2000-09-01,1.4400000000000000
2000-10-01,1.4000000000000000
2000-11-01,1.6000000000000000
2000-12-01,1.9800000000000000
2001-01-01,2.3250000000000000
2001-02-01,2.3750000000000000
2001-03-01,2.3200000000000000
2001-04-01,2.1250000000000000
2001-05-01,2.0250000000000000
2001-06-01,2.1000000000000000
2001-07-01,2.3500000000000000
2001-08-01,2.2500000000000000
2001-09-01,2.1400000000000000
2001-10-01,2.3250000000000000
2001-11-01,2.5750000000000000
2001-12-01,2.9400000000000000
2002-01-01,3.4000000000000000
2002-02-01,3.3250000000000000
2002-03-01,3.2000000000000000
2002-04-01,2.8750000000000000
2002-05-01,2.6500000000000000
2002-06-01,2.5800000000000000
2002-07-01,2.7250000000000000
2002-08-01,2.5200000000000000
2002-09-01,2.3500000000000000
2002-10-01,2.3500000000000000
2002-11-01,2.5400000000000000
2002-12-01,2.8750000000000000
2003-01-01,3.3000000000000000
2003-02-01,3.2500000000000000
2003-03-01,3.1800000000000000
2003-04-01,2.9250000000000000
2003-05-01,2.7000000000000000
2003-06-01,2.6750000000000000
2003-07-01,2.8500000000000000
2003-08-01,2.6200000000000000
2003-09-01,2.4000000000000000
2003-10-01,2.3250000000000000
2003-11-01,2.4600000000000000
2003-12-01,2.7250000000000000
2004-01-01,3.1000000000000000
2004-02-01,2.9750000000000000
2004-03-01,2.7250000000000000
2004-04-01,2.4250000000000000
2004-05-01,2.1600000000000000
2004-06-01,2.1750000000000000
2004-07-01,2.2400000000000000
2004-08-01,2.1000000000000000
2004-09-01,1.9250000000000000
2004-10-01,1.8600000000000000
2004-11-01,2.0000000000000000
2004-12-01,2.2000000000000000
2005-01-01,2.6200000000000000
2005-02-01,2.5000000000000000
2005-03-01,2.3500000000000000
2005-04-01,2.0800000000000000
2005-05-01,1.8750000000000000
2005-06-01,1.9000000000000000
2005-07-01,2.0000000000000000
2005-08-01,1.8750000000000000
2005-09-01,1.8000000000000000
2005-10-01,1.8800000000000000
2005-11-01,1.9250000000000000
2005-12-01,2.1800000000000000
2006-01-01,2.4250000000000000
2006-02-01,2.3000000000000000
2006-03-01,2.1500000000000000
2006-04-01,1.9000000000000000
2006-05-01,1.7000000000000000
2006-06-01,1.7000000000000000
2006-07-01,1.8200000000000000
2006-08-01,1.7500000000000000
2006-09-01,1.6200000000000000
2006-10-01,1.6000000000000000
2006-11-01,1.7250000000000000
2006-12-01,2.0400000000000000
2007-01-01,2.3250000000000000
2007-02-01,2.3000000000000000
2007-03-01,2.1600000000000000
2007-04-01,1.9500000000000000
2007-05-01,1.7250000000000000
2007-06-01,1.7200000000000000
2007-07-01,1.9500000000000000
2007-08-01,1.8000000000000000
2007-09-01,1.6400000000000000
2007-10-01,1.6500000000000000
2007-11-01,1.8000000000000000
2007-12-01,2.1400000000000000
2008-01-01,2.5250000000000000
2008-02-01,2.5250000000000000
2008-03-01,2.4600000000000000
2008-04-01,2.2500000000000000
2008-05-01,2.1000000000000000
2008-06-01,2.1000000000000000
2008-07-01,2.3750000000000000
2008-08-01,2.3600000000000000
2008-09-01,2.3000000000000000
2008-10-01,2.3750000000000000
2008-11-01,2.8200000000000000
2008-12-01,3.5250000000000000
2009-01-01,4.3200000000000000
2009-02-01,4.6500000000000000
2009-03-01,4.7750000000000000
2009-04-01,4.7250000000000000
2009-05-01,4.5800000000000000
2009-06-01,4.5500000000000000
2009-07-01,4.6000000000000000
2009-08-01,4.2800000000000000
2009-09-01,3.8750000000000000
2009-10-01,3.7600000000000000
2009-11-01,3.8250000000000000
2009-12-01,4.0250000000000000
2010-01-01,4.4400000000000000
2010-02-01,4.3000000000000000
2010-03-01,4.0500000000000000
2010-04-01,3.7250000000000000
2010-05-01,3.4200000000000000
2010-06-01,3.4000000000000000
2010-07-01,3.5000000000000000
2010-08-01,3.3250000000000000
2010-09-01,3.0500000000000000
2010-10-01,2.9800000000000000
2010-11-01,3.1000000000000000
2010-12-01,3.3250000000000000
2011-01-01,3.7200000000000000
2011-02-01,3.6000000000000000
2011-03-01,3.3500000000000000
2011-04-01,3.0400000000000000
2011-05-01,2.8000000000000000
2011-06-01,2.8000000000000000
2011-07-01,2.9000000000000000
2011-08-01,2.7750000000000000
2011-09-01,2.5500000000000000
2011-10-01,2.5000000000000000
2011-11-01,2.6500000000000000
2011-12-01,2.9800000000000000
2012-01-01,3.2000000000000000
2012-02-01,3.1500000000000000
2012-03-01,2.9200000000000000
2012-04-01,2.6250000000000000
2012-05-01,2.4500000000000000
2012-06-01,2.4400000000000000
2012-07-01,2.5500000000000000
2012-08-01,2.4500000000000000
2012-09-01,2.2400000000000000
2012-10-01,2.2000000000000000
2012-11-01,2.3500000000000000
2012-12-01,2.6000000000000000
2013-01-01,2.9250000000000000
2013-02-01,2.7750000000000000
2013-03-01,2.6400000000000000
2013-04-01,2.3750000000000000
2013-05-01,2.1500000000000000
2013-06-01,2.1600000000000000
2013-07-01,2.3000000000000000
2013-08-01,2.1200000000000000
2013-09-01,1.9000000000000000
2013-10-01,1.9000000000000000
2013-11-01,2.0400000000000000
2013-12-01,2.3000000000000000
2014-01-01,2.6750000000000000
2014-02-01,2.6000000000000000
2014-03-01,2.4000000000000000
2014-04-01,2.1000000000000000
2014-05-01,1.8600000000000000
2014-06-01,1.8000000000000000
