DATE,GS5,Monthly Change,Percent Monthly Change,Yearly Change,Percent Yearly Change
2000-01-01,6.58,0.0,0.0,,
2000-02-01,6.68,0.09999999999999964,1.5197568389057698,,
2000-03-01,6.5,-0.17999999999999972,-2.6946107784431095,,
2000-04-01,6.26,-0.2400000000000002,-3.6923076923076956,,
2000-05-01,6.69,0.4300000000000006,6.869009584664547,,
2000-06-01,6.3,-0.39000000000000057,-5.829596412556063,,
2000-07-01,6.18,-0.1200000000000001,-1.9047619047619067,,
2000-08-01,6.06,-0.1200000000000001,-1.9417475728155358,,
2000-09-01,5.93,-0.1299999999999999,-2.145214521452144,,
2000-10-01,5.78,-0.14999999999999947,-2.5295109612141564,,
2000-11-01,5.7,-0.08000000000000007,-1.3840830449827002,,
2000-12-01,5.17,-0.5300000000000002,-9.29824561403509,,
2001-01-01,4.86,-0.3099999999999996,-5.996131528046414,-1.7199999999999998,-26.13981762917933
2001-02-01,4.89,0.02999999999999936,0.6172839506172707,-1.79,-26.796407185628745
2001-03-01,4.64,-0.25,-5.112474437627812,-1.8600000000000003,-28.61538461538462
2001-04-01,4.76,0.1200000000000001,2.5862068965517264,-1.5,-23.961661341853034
2001-05-01,4.93,0.16999999999999993,3.57142857142857,-1.7600000000000007,-26.30792227204784
2001-06-01,4.81,-0.1200000000000001,-2.4340770791075075,-1.4900000000000002,-23.650793650793656
2001-07-01,4.76,-0.04999999999999982,-1.039501039501036,-1.42,-22.97734627831715
2001-08-01,4.57,-0.1899999999999995,-3.991596638655452,-1.4899999999999993,-24.587458745874578
2001-09-01,4.12,-0.4500000000000002,-9.846827133479215,-1.8099999999999996,-30.522765598650924
2001-10-01,3.91,-0.20999999999999996,-5.097087378640776,-1.87,-32.35294117647059
2001-11-01,3.97,0.06000000000000005,1.5345268542199502,-1.73,-30.350877192982455
2001-12-01,4.39,0.4199999999999995,10.579345088161196,-0.7800000000000002,-15.08704061895552
2002-01-01,4.34,-0.04999999999999982,-1.1389521640091078,-0.5200000000000005,-10.699588477366264
2002-02-01,4.3,-0.040000000000000036,-0.9216589861751161,-0.5899999999999999,-12.065439672801634
2002-03-01,4.74,0.4400000000000004,10.232558139534893,0.10000000000000053,2.155172413793115
2002-04-01,4.65,-0.08999999999999986,-1.898734177215187,-0.10999999999999943,-2.3109243697478874
2002-05-01,4.49,-0.16000000000000014,-3.440860215053766,-0.4399999999999995,-8.924949290060843
2002-06-01,4.19,-0.2999999999999998,-6.681514476614694,-0.6199999999999992,-12.889812889812873
2002-07-01,3.81,-0.38000000000000034,-9.069212410501201,-0.9499999999999997,-19.957983193277308
2002-08-01,3.29,-0.52,-13.648293963254593,-1.2800000000000002,-28.008752735229763
2002-09-01,2.94,-0.3500000000000001,-10.638297872340429,-1.1800000000000002,-28.64077669902913
2002-10-01,2.95,0.010000000000000231,0.3401360544217766,-0.96,-24.552429667519178
2002-11-01,3.05,0.09999999999999964,3.3898305084745637,-0.9200000000000004,-23.17380352644837
2002-12-01,3.03,-0.020000000000000018,-0.6557377049180334,-1.3599999999999999,-30.979498861047833
2003-01-01,3.05,0.020000000000000018,0.6600660066006607,-1.29,-29.72350230414747
2003-02-01,2.9,-0.1499999999999999,-4.918032786885243,-1.4,-32.558139534883715
2003-03-01,2.78,-0.1200000000000001,-4.1379310344827624,-1.9600000000000004,-41.35021097046414
2003-04-01,2.93,0.15000000000000036,5.395683453237423,-1.7200000000000002,-36.98924731182796
2003-05-01,2.52,-0.41000000000000014,-13.99317406143345,-1.9700000000000002,-43.87527839643653
2003-06-01,2.27,-0.25,-9.920634920634921,-1.9200000000000004,-45.82338902147971
2003-07-01,2.87,0.6000000000000001,26.431718061674015,-0.94,-24.671916010498684
2003-08-01,3.37,0.5,17.421602787456443,0.08000000000000007,2.4316109422492422
2003-09-01,3.18,-0.18999999999999995,-5.637982195845695,0.2400000000000002,8.163265306122456
2003-10-01,3.19,0.009999999999999787,0.3144654088050247,0.23999999999999977,8.135593220338974
2003-11-01,3.29,0.10000000000000009,3.134796238244517,0.2400000000000002,7.868852459016401
2003-12-01,3.27,-0.020000000000000018,-0.6079027355623106,0.2400000000000002,7.920792079207928
2004-01-01,3.12,-0.1499999999999999,-4.58715596330275,0.07000000000000028,2.2950819672131244
2004-02-01,3.07,-0.050000000000000266,-1.602564102564111,0.16999999999999993,5.862068965517239
2004-03-01,2.79,-0.2799999999999998,-9.120521172638432,0.010000000000000231,0.3597122302158357
2004-04-01,3.39,0.6000000000000001,21.505376344086024,0.45999999999999996,15.69965870307167
2004-05-01,3.85,0.45999999999999996,13.569321533923304,1.33,52.77777777777778
2004-06-01,3.93,0.08000000000000007,2.0779220779220795,1.6600000000000001,73.12775330396477
2004-07-01,3.69,-0.2400000000000002,-6.106870229007639,0.8199999999999998,28.571428571428566
2004-08-01,3.47,-0.21999999999999975,-5.962059620596199,0.10000000000000009,2.9673590504451064
2004-09-01,3.36,-0.11000000000000032,-3.170028818443813,0.17999999999999972,5.660377358490557
2004-10-01,3.35,-0.009999999999999787,-0.2976190476190413,0.16000000000000014,5.015673981191227
2004-11-01,3.53,0.17999999999999972,5.3731343283582005,0.23999999999999977,7.294832826747713
2004-12-01,3.6,0.07000000000000028,1.9830028328611982,0.33000000000000007,10.091743119266058
2005-01-01,3.71,0.10999999999999988,3.055555555555552,0.5899999999999999,18.910256410256405
2005-02-01,3.77,0.06000000000000005,1.617250673854449,0.7000000000000002,22.801302931596098
2005-03-01,4.17,0.3999999999999999,10.610079575596815,1.38,49.46236559139784
2005-04-01,4.0,-0.16999999999999993,-4.0767386091127085,0.6099999999999999,17.994100294985245
2005-05-01,3.85,-0.1499999999999999,-3.749999999999998,0.0,0.0
2005-06-01,3.77,-0.08000000000000007,-2.0779220779220795,-0.16000000000000014,-4.071246819338426
2005-07-01,3.98,0.20999999999999996,5.570291777188328,0.29000000000000004,7.859078590785909
2005-08-01,4.12,0.14000000000000012,3.5175879396984957,0.6499999999999999,18.731988472622476
2005-09-01,4.01,-0.11000000000000032,-2.669902912621367,0.6499999999999999,19.345238095238095
2005-10-01,4.33,0.3200000000000003,7.980049875311729,0.98,29.25373134328358
2005-11-01,4.45,0.1200000000000001,2.7713625866050835,0.9200000000000004,26.062322946175648
2005-12-01,4.39,-0.0600000000000005,-1.348314606741584,0.7899999999999996,21.944444444444432
2006-01-01,4.35,-0.040000000000000036,-0.9111617312072902,0.6399999999999997,17.25067385444743
2006-02-01,4.57,0.22000000000000064,5.057471264367831,0.8000000000000003,21.22015915119364
2006-03-01,4.72,0.14999999999999947,3.282275711159725,0.5499999999999998,13.189448441246999
2006-04-01,4.9,0.1800000000000006,3.8135593220339112,0.9000000000000004,22.500000000000007
2006-05-01,5.0,0.09999999999999964,2.0408163265306047,1.15,29.87012987012987
2006-06-01,5.07,0.07000000000000028,1.4000000000000057,1.3000000000000003,34.482758620689665
2006-07-01,5.04,-0.03000000000000025,-0.5917159763313657,1.06,26.633165829145728
2006-08-01,4.82,-0.21999999999999975,-4.36507936507936,0.7000000000000002,16.990291262135926
2006-09-01,4.67,-0.15000000000000036,-3.112033195020754,0.6600000000000001,16.45885286783043
2006-10-01,4.69,0.020000000000000462,0.42826552462527756,0.3600000000000003,8.31408775981525
2006-11-01,4.58,-0.11000000000000032,-2.345415778251606,0.1299999999999999,2.921348314606739
2006-12-01,4.53,-0.04999999999999982,-1.091703056768555,0.14000000000000057,3.189066059225526
2007-01-01,4.75,0.21999999999999975,4.856512141280348,0.40000000000000036,9.195402298850585
2007-02-01,4.71,-0.040000000000000036,-0.8421052631578954,0.13999999999999968,3.0634573304157477
2007-03-01,4.48,-0.22999999999999954,-4.883227176220797,-0.23999999999999932,-5.08474576271185
2007-04-01,4.59,0.10999999999999943,2.45535714285713,-0.3100000000000005,-6.326530612244907
