DATE,WILL5000PR,Monthly Change,Percent Monthly Change,Yearly Change,Percent Yearly Change
2000-01-01,100.0,0.0,0.0,,
2000-02-01,102.11918,2.11918,2.11918,,
2000-03-01,108.05374,5.934560000000005,5.811405849518185,,
2000-04-01,102.35121,-5.70253000000001,-5.277494328285175,,
2000-05-01,98.65721,-3.6939999999999884,-3.6091415040427846,,
2000-06-01,102.93168,4.274469999999994,4.332648369034552,,
2000-07-01,100.75348,-2.178200000000004,-2.1161609331548887,,
2000-08-01,107.93175,7.178269999999998,7.124587656922618,,
2000-09-01,102.89261,-5.039139999999989,-4.668820805740655,,
2000-10-01,100.63534,-2.2572700000000054,-2.1938115866630317,,
2000-11-01,90.51911,-10.116230000000002,-10.05236331491502,,
2000-12-01,92.02804,1.5089300000000065,1.6669739682593065,,
2001-01-01,95.47066,3.442619999999991,3.7408381184691004,-4.529340000000005,-4.529340000000005
2001-02-01,86.35491,-9.115749999999991,-9.548221411688147,-15.764269999999996,-15.437129440326485
2001-03-01,80.46373,-5.891180000000006,-6.822055630652624,-27.590010000000007,-25.53360022522127
2001-04-01,87.01376,6.550030000000007,8.140350938242618,-15.33744999999999,-14.985118397720937
2001-05-01,87.75265,0.7388899999999978,0.8491645459292849,-10.904560000000004,-11.052978287141915
2001-06-01,86.2178,-1.5348500000000058,-1.7490639883809844,-16.713880000000003,-16.237838535230363
2001-07-01,84.71644,-1.5013599999999911,-1.741357353121967,-16.03703999999999,-15.917107776326922
2001-08-01,79.47541,-5.241030000000009,-6.186555997867721,-28.456339999999997,-26.365124256764112
2001-09-01,72.27893,-7.196479999999994,-9.054976879012004,-30.613680000000002,-29.75304057307906
2001-10-01,74.04687,1.7679399999999958,2.4459963643623333,-26.58847,-26.42060930086787
2001-11-01,79.59907,5.552199999999999,7.498223760167039,-10.92004,-12.063795147787026
2001-12-01,80.93105,1.3319800000000015,1.6733612591202405,-11.096990000000005,-12.058270501034254
2002-01-01,79.8503,-1.0807499999999948,-1.335395994491601,-15.620359999999991,-16.361424546557018
2002-02-01,78.09831,-1.7519900000000064,-2.194093196894697,-8.256600000000006,-9.561239772006022
2002-03-01,81.44547,3.3471600000000024,4.285828976324843,0.981740000000002,1.2201025232113925
2002-04-01,77.40514,-4.040329999999997,-4.9607792796824635,-9.608620000000002,-11.042644289822668
2002-05-01,76.38712,-1.018020000000007,-1.315183978738372,-11.365530000000007,-12.951779803800804
2002-06-01,70.92661,-5.460509999999999,-7.14846953255994,-15.29119,-17.735537209253774
