DATE,NASDAQCOM,Monthly Change,Percent Monthly Change,Yearly Change,Percent Yearly Change
2000-01-01,100.0,0.0,0.0,,
2000-02-01,119.19474,19.194739999999996,19.194739999999996,,
2000-03-01,116.05137,-3.1433699999999902,-2.6371717409677564,,
2000-04-01,97.97759,-18.07378,-15.57394798527583,,
2000-05-01,86.30985,-11.667740000000009,-11.908580319234234,,
2000-06-01,100.65375,14.343900000000005,16.619076501697087,,
2000-07-01,95.60039,-5.053359999999998,-5.02053823131279,,
2000-08-01,106.75067,11.150279999999995,11.663425222428481,,
2000-09-01,93.2105,-13.540170000000003,-12.683920391319328,,
2000-10-01,85.51601,-7.694490000000002,-8.254960546290388,,
2000-11-01,65.93145,-19.584559999999996,-22.901629764999555,,
2000-12-01,62.69798,-3.233469999999997,-4.904290744401947,,
2001-01-01,70.36761,7.669629999999998,12.232658851210195,-29.63239,-29.632390000000004
2001-02-01,54.61012,-15.757489999999997,-22.39310103043147,-64.58462,-54.18411919854853
2001-03-01,46.70296,-7.907160000000005,-14.47929431394768,-69.34841,-59.756649145977335
2001-04-01,53.7069,7.00394,14.996779647371389,-44.27069000000001,-45.18450596712984
2001-05-01,53.56098,-0.14591999999999672,-0.27169693279633855,-32.74887,-37.94337494503814
2001-06-01,54.83117,1.2701899999999995,2.371483867546859,-45.82258,-45.52496057027185
2001-07-01,51.44543,-3.3857399999999984,-6.1748454391908805,-44.15496,-46.187008232916206
2001-08-01,45.81903,-5.626400000000004,-10.936637131811326,-60.93164,-57.078461427923585
2001-09-01,38.03723,-7.781799999999997,-16.98377289960088,-55.173269999999995,-59.1921189136417
2001-10-01,42.89467,4.857439999999997,12.770225381816703,-42.62134,-49.84018781980123
2001-11-01,48.99514,6.100470000000001,14.22197676308036,-16.93631,-25.687755995052434
2001-12-01,49.49814,0.5030000000000001,1.0266324374213445,-13.199840000000002,-21.0530546598152
2002-01-01,49.0827,-0.4154399999999967,-0.8393042647663058,-21.284909999999996,-30.24816389244995
2002-02-01,43.94254,-5.140160000000002,-10.472447522243074,-10.667580000000001,-19.534071706855798
2002-03-01,46.83213,2.8895899999999983,6.575837445900938,0.129170000000002,0.2765777586688339
2002-04-01,42.84467,-3.9874599999999987,-8.514368233945367,-10.862229999999997,-20.225017642053437
2002-05-01,41.00473,-1.8399399999999986,-4.294443159440832,-12.556249999999999,-23.4429056376489
2002-06-01,37.13401,-3.8707199999999986,-9.439691469740193,-17.697159999999997,-32.27572929776986
