DATE,DGS10,Monthly Change,Percent Monthly Change,Yearly Change,Percent Yearly Change
2000-01-01,6.68,0.0,0.0,,
2000-02-01,6.42,-0.2599999999999998,-3.892215568862272,,
2000-03-01,6.03,-0.3899999999999997,-6.0747663551401825,,
2000-04-01,6.23,0.20000000000000018,3.316749585406305,,
2000-05-01,6.29,0.05999999999999961,0.9630818619582602,,
2000-06-01,6.03,-0.2599999999999998,-4.133545310015895,,
2000-07-01,6.04,0.009999999999999787,0.16583747927031153,,
2000-08-01,5.73,-0.3099999999999996,-5.132450331125821,,
2000-09-01,5.8,0.0699999999999994,1.221640488656185,,
2000-10-01,5.77,-0.03000000000000025,-0.5172413793103492,,
2000-11-01,5.48,-0.28999999999999915,-5.025996533795479,,
2000-12-01,5.12,-0.3600000000000003,-6.569343065693436,,
2001-01-01,5.19,0.07000000000000028,1.3671875000000056,-1.4899999999999993,-22.305389221556876
2001-02-01,4.92,-0.27000000000000046,-5.202312138728332,-1.5,-23.364485981308412
2001-03-01,4.93,0.009999999999999787,0.2032520325203209,-1.1000000000000005,-18.24212271973467
2001-04-01,5.35,0.41999999999999993,8.519269776876266,-0.8800000000000008,-14.125200642054587
2001-05-01,5.43,0.08000000000000007,1.4953271028037398,-0.8600000000000003,-13.672496025437205
2001-06-01,5.42,-0.009999999999999787,-0.18416206261509738,-0.6100000000000003,-10.116086235489226
2001-07-01,5.07,-0.34999999999999964,-6.457564575645749,-0.9699999999999998,-16.059602649006617
2001-08-01,4.85,-0.22000000000000064,-4.339250493096659,-0.8800000000000008,-15.357766143106469
2001-09-01,4.6,-0.25,-5.154639175257732,-1.2000000000000002,-20.689655172413797
2001-10-01,4.3,-0.2999999999999998,-6.52173913043478,-1.4699999999999998,-25.476603119584052
2001-11-01,4.78,0.4800000000000004,11.16279069767443,-0.7000000000000002,-12.773722627737227
2001-12-01,5.07,0.29000000000000004,6.066945606694561,-0.04999999999999982,-0.9765624999999966
2002-01-01,5.07,0.0,0.0,-0.1200000000000001,-2.3121387283237014
2002-02-01,4.88,-0.1900000000000004,-3.747534516765293,-0.040000000000000036,-0.8130081300813016
2002-03-01,5.42,0.54,11.065573770491804,0.4900000000000002,9.939148073022318
2002-04-01,5.11,-0.3099999999999996,-5.719557195571948,-0.23999999999999932,-4.485981308411203
2002-05-01,5.08,-0.03000000000000025,-0.5870841487279892,-0.34999999999999964,-6.445672191528538
2002-06-01,4.86,-0.21999999999999975,-4.330708661417318,-0.5599999999999996,-10.332103321033204
2002-07-01,4.51,-0.35000000000000053,-7.2016460905349895,-0.5600000000000005,-11.045364891518746
2002-08-01,4.14,-0.3700000000000001,-8.203991130820402,-0.71,-14.63917525773196
2002-09-01,3.63,-0.5099999999999998,-12.318840579710141,-0.9699999999999998,-21.086956521739125
2002-10-01,3.93,0.30000000000000027,8.264462809917363,-0.36999999999999966,-8.60465116279069
2002-11-01,4.22,0.2899999999999996,7.37913486005088,-0.5600000000000005,-11.715481171548127
2002-12-01,3.83,-0.3899999999999997,-9.241706161137433,-1.2400000000000002,-24.457593688362923
2003-01-01,4.0,0.16999999999999993,4.438642297650128,-1.0700000000000003,-21.10453648915188
2003-02-01,3.71,-0.29000000000000004,-7.250000000000001,-1.17,-23.975409836065573
2003-03-01,3.83,0.1200000000000001,3.234501347708898,-1.5899999999999999,-29.335793357933575
2003-04-01,3.89,0.06000000000000005,1.5665796344647531,-1.2200000000000002,-23.874755381604697
2003-05-01,3.37,-0.52,-13.367609254498714,-1.71,-33.661417322834644
2003-06-01,3.54,0.16999999999999993,5.044510385756674,-1.3200000000000003,-27.160493827160497
2003-07-01,4.49,0.9500000000000002,26.836158192090398,-0.019999999999999574,-0.4434589800443364
2003-08-01,4.45,-0.040000000000000036,-0.8908685968819607,0.3100000000000005,7.4879227053140225
2003-09-01,3.96,-0.4900000000000002,-11.011235955056184,0.33000000000000007,9.090909090909092
2003-10-01,4.33,0.3700000000000001,9.343434343434346,0.3999999999999999,10.178117048346055
2003-11-01,4.34,0.009999999999999787,0.23094688221708512,0.1200000000000001,2.8436018957346
2003-12-01,4.27,-0.07000000000000028,-1.6129032258064582,0.4399999999999995,11.4882506527415
2004-01-01,4.16,-0.10999999999999943,-2.576112412177973,0.16000000000000014,4.0000000000000036
2004-02-01,3.99,-0.16999999999999993,-4.08653846153846,0.28000000000000025,7.547169811320761
2004-03-01,3.86,-0.13000000000000034,-3.2581453634085293,0.029999999999999805,0.7832898172323709
2004-04-01,4.53,0.6700000000000004,17.357512953367884,0.6400000000000001,16.452442159383036
2004-05-01,4.66,0.1299999999999999,2.8697571743929338,1.29,38.27893175074184
2004-06-01,4.62,-0.040000000000000036,-0.858369098712447,1.08,30.508474576271187
2004-07-01,4.5,-0.1200000000000001,-2.5974025974025996,0.009999999999999787,0.22271714922048524
2004-08-01,4.13,-0.3700000000000001,-8.222222222222225,-0.3200000000000003,-7.191011235955062
2004-09-01,4.14,0.009999999999999787,0.24213075060532172,0.17999999999999972,4.545454545454539
2004-10-01,4.05,-0.08999999999999986,-2.1739130434782576,-0.28000000000000025,-6.466512702078528
2004-11-01,4.36,0.3100000000000005,7.654320987654334,0.020000000000000462,0.46082949308756826
2004-12-01,4.24,-0.1200000000000001,-2.7522935779816535,-0.02999999999999936,-0.7025761124121631
2005-01-01,4.14,-0.10000000000000053,-2.358490566037748,-0.020000000000000462,-0.4807692307692419
2005-02-01,4.36,0.22000000000000064,5.314009661835764,0.3700000000000001,9.273182957393486
2005-03-01,4.5,0.13999999999999968,3.2110091743119193,0.6400000000000001,16.580310880829018
2005-04-01,4.21,-0.29000000000000004,-6.4444444444444455,-0.3200000000000003,-7.064017660044156
2005-05-01,4.0,-0.20999999999999996,-4.988123515439429,-0.6600000000000001,-14.163090128755368
2005-06-01,3.94,-0.06000000000000005,-1.5000000000000013,-0.6800000000000002,-14.718614718614722
2005-07-01,4.28,0.3400000000000003,8.62944162436549,-0.21999999999999975,-4.888888888888884
2005-08-01,4.02,-0.2600000000000007,-6.074766355140202,-0.11000000000000032,-2.6634382566586035
2005-09-01,4.34,0.3200000000000003,7.9601990049751326,0.20000000000000018,4.83091787439614
2005-10-01,4.57,0.23000000000000043,5.299539170506922,0.5200000000000005,12.839506172839519
2005-11-01,4.49,-0.08000000000000007,-1.7505470459518613,0.1299999999999999,2.9816513761467864
2005-12-01,4.39,-0.10000000000000053,-2.2271714922049117,0.14999999999999947,3.5377358490565913
2006-01-01,4.53,0.14000000000000057,3.189066059225526,0.39000000000000057,9.420289855072477
2006-02-01,4.55,0.019999999999999574,0.4415011037527499,0.1899999999999995,4.357798165137603
