DATE,MORTGAGE15US,MORTGAGE30US,MORTGAGE5US,MORTGAGE15US_Monthly Change,MORTGAGE15US_Percent Monthly Change,MORTGAGE15US_Yearly Change,MORTGAGE15US_Percent Yearly Change,MORTGAGE30US_Monthly Change,MORTGAGE30US_Percent Monthly Change,MORTGAGE30US_Yearly Change,MORTGAGE30US_Percent Yearly Change,MORTGAGE5US_Monthly Change,MORTGAGE5US_Percent Monthly Change,MORTGAGE5US_Yearly Change,MORTGAGE5US_Percent Yearly Change
2003-12-01,5.204,5.876,,-0.06850000000000023,-1.2991939307728824,-0.24600000000000044,-4.513761467889916,-0.05649999999999977,-0.9523809523809484,-0.17149999999999999,-2.835882596114096,,,,
2004-01-01,5.015,5.7125,,-0.18900000000000006,-3.631821675634129,-0.2890000000000006,-5.44871794871796,-0.16349999999999998,-2.7825051055139545,-0.20350000000000001,-3.4398242055442867,,,,
2004-02-01,4.9375,5.635,,-0.07749999999999968,-1.5453639082751682,-0.28249999999999975,-5.4118773946360115,-0.07750000000000057,-1.3566739606127012,-0.20750000000000046,-3.5515618314077955,,,,
2004-03-01,4.74,5.445,,-0.1974999999999998,-3.999999999999996,-0.3250000000000002,-6.4165844027640695,-0.1899999999999995,-3.37178349600709,-0.2999999999999998,-5.221932114882503,,,,
2004-04-01,5.158,5.83,,0.41800000000000015,8.818565400843886,0.04050000000000065,0.7914020517831099,0.3849999999999998,7.0707070707070665,0.01750000000000007,0.30107526881720553,,,,
2004-05-01,5.6375,6.27,,0.4794999999999998,9.296238852268317,0.7774999999999999,15.997942386831271,0.4399999999999995,7.547169811320746,0.7859999999999996,14.332603938730845,,,,
2004-06-01,5.66,6.2875,,0.022499999999999964,0.3991130820399107,1.0324999999999998,22.312263641274978,0.01750000000000007,0.27910685805422764,1.0574999999999992,20.21988527724664,,,,
2004-07-01,5.464,6.056,,-0.19599999999999973,-3.4628975265017616,0.49650000000000016,9.994967287367894,-0.2314999999999996,-3.681908548707747,0.42349999999999977,7.518863737239231,,,,
2004-08-01,5.26,5.8675,,-0.20400000000000063,-3.7335285505124562,-0.3280000000000003,-5.869720830350757,-0.18850000000000033,-3.112615587846769,-0.3965000000000005,-6.329821200510864,,,,
2004-09-01,5.144,5.754,,-0.11599999999999966,-2.2053231939163433,-0.31349999999999945,-5.744388456252853,-0.11350000000000016,-1.9343843204090354,-0.3935000000000004,-6.400976006506717,,,,
2004-10-01,5.115,5.7225,,-0.028999999999999915,-0.56376360808709,-0.1589999999999998,-3.014789533560861,-0.03149999999999942,-0.5474452554744424,-0.22949999999999982,-3.855846774193546,,,,
2004-11-01,5.135,5.73,,0.019999999999999574,0.3910068426197375,-0.13750000000000018,-2.6078710289236637,0.007500000000000284,0.13106159895151218,-0.20249999999999968,-3.4134007585334962,,,,
2004-12-01,5.178,5.752,,0.04300000000000015,0.8373904576436251,-0.0259999999999998,-0.4996156802459608,0.021999999999999353,0.3839441535776501,-0.12400000000000055,-2.1102791014295534,,,,
2005-01-01,5.1725,5.71,5.0375,-0.005499999999999616,-0.10621861722672106,0.15750000000000064,3.1405782652043994,-0.041999999999999815,-0.7301808066759357,-0.002500000000000391,-0.04376367614880334,,,,
2005-02-01,5.15,5.6275,5.0225,-0.022499999999999964,-0.43499275012083055,0.21250000000000036,4.303797468354437,-0.08249999999999957,-1.4448336252189067,-0.007499999999999396,-0.13309671694763792,-0.01499999999999968,-0.29776674937964626,,
2005-03-01,5.464,5.928,5.296,0.31400000000000006,6.0970873786407775,0.7240000000000002,15.27426160337553,0.30049999999999955,5.339848956019538,0.48299999999999965,8.870523415977955,0.2735000000000003,5.445495271279249,,
2005-04-01,5.4075,5.855,5.265,-0.05650000000000066,-1.0340409956076255,0.2494999999999994,4.837146180690178,-0.07299999999999951,-1.231443994601881,0.025000000000000355,0.4288164665523217,-0.031000000000000583,-0.5853474320241802,,
2005-05-01,5.28,5.72,5.1275,-0.1274999999999995,-2.3578363384188537,-0.35749999999999993,-6.341463414634145,-0.13500000000000068,-2.3057216054654255,-0.5499999999999998,-8.771929824561402,-0.1374999999999993,-2.611585944919265,,
2005-06-01,5.168,5.582,5.064,-0.1120000000000001,-2.121212121212123,-0.492,-8.692579505300353,-0.1379999999999999,-2.4125874125874107,-0.7054999999999998,-11.220675944333994,-0.06350000000000033,-1.23842028278889,,
2005-07-01,5.2775,5.695,5.2175,0.10949999999999971,2.118808049535598,-0.18650000000000055,-3.4132503660322207,0.11300000000000043,2.024364027230391,-0.36099999999999977,-5.9610303830911455,0.1535000000000002,3.031200631911536,,
2005-08-01,5.4,5.82,5.335,0.1225000000000005,2.3211747986736238,0.14000000000000057,2.6615969581749157,0.125,2.194907813871817,-0.04749999999999943,-0.8095440988495856,0.11749999999999972,2.2520364159079964,,
2005-09-01,5.358,5.774,5.31,-0.0420000000000007,-0.7777777777777908,0.21399999999999952,4.160186625194392,-0.04600000000000026,-0.7903780068728568,0.020000000000000462,0.3475842891901366,-0.025000000000000355,-0.4686035613870732,,
2005-10-01,5.625,6.065,5.5675,0.26700000000000035,4.983202687569996,0.5099999999999998,9.970674486803514,0.29100000000000037,5.03983373744372,0.34250000000000025,5.985146352118834,0.2575000000000003,4.849340866290024,,
2005-11-01,5.8625,6.33,5.795,0.23749999999999982,4.222222222222219,0.7275,14.167478091528727,0.2649999999999997,4.36933223413025,0.5999999999999996,10.471204188481668,0.22750000000000004,4.086214638527167,,
