DATE,NASDAQCOM,NASDAQCOM Mon_Chg,NASDAQCOM Per_Mon_Chg,NASDAQCOM Yr_Chg,NASDAQCOM Per_Yr_Chg,WILL5000,WILL5000 Mon_Chg,WILL5000 Per_Mon_Chg,WILL5000 Yr_Chg,WILL5000 Per_Yr_Chg
2000-03-01,116.05137,-3.1433699999999902,-2.6371717409677564,,,108.05374,5.934560000000005,5.811405849518185,,
2000-04-01,97.97759,-18.07378,-15.57394798527583,,,102.35121,-5.70253000000001,-5.277494328285175,,
2000-05-01,86.30985,-11.667740000000007,-11.908580319234234,,,98.65721,-3.693999999999989,-3.609141504042785,,
2000-06-01,100.65375,14.343900000000003,16.619076501697087,,,102.93168,4.274469999999994,4.332648369034552,,
2000-07-01,95.60039,-5.053359999999998,-5.02053823131279,,,100.75348,-2.178200000000004,-2.1161609331548887,,
2000-08-01,106.75067,11.150279999999997,11.66342522242848,,,107.93175,7.178269999999998,7.124587656922618,,
2000-09-01,93.2105,-13.540170000000003,-12.683920391319328,,,102.89261,-5.039139999999989,-4.668820805740655,,
2000-10-01,85.51601,-7.694490000000002,-8.254960546290388,,,100.63534,-2.257270000000005,-2.193811586663032,,
2000-11-01,65.93145,-19.58456,-22.901629764999555,,,90.51911,-10.116230000000002,-10.05236331491502,,
2000-12-01,62.69798,-3.233469999999997,-4.904290744401947,,,92.02804,1.5089300000000063,1.6669739682593063,,
2001-01-01,70.36761,7.669629999999998,12.232658851210196,-29.63239,-29.632390000000004,95.47066,3.442619999999991,3.740838118469101,-4.529340000000005,-4.529340000000005
2001-02-01,54.61012,-15.757489999999995,-22.39310103043147,-64.58462,-54.18411919854853,86.35491,-9.115749999999991,-9.548221411688148,-15.764269999999996,-15.437129440326483
2001-03-01,46.70296,-7.907160000000005,-14.47929431394768,-69.34841,-59.756649145977335,80.46373,-5.891180000000006,-6.822055630652624,-27.590010000000007,-25.53360022522127
2001-04-01,53.7069,7.00394,14.996779647371389,-44.27069000000001,-45.18450596712984,87.01376,6.550030000000007,8.140350938242618,-15.33744999999999,-14.985118397720935
2001-05-01,53.56098,-0.1459199999999967,-0.2716969327963385,-32.74887,-37.94337494503814,87.75265,0.7388899999999978,0.8491645459292849,-10.904560000000004,-11.052978287141917
2001-06-01,54.83117,1.2701899999999997,2.371483867546859,-45.82258,-45.52496057027185,86.2178,-1.5348500000000058,-1.7490639883809844,-16.713880000000003,-16.237838535230363
