DATE,5yr_Maturity,5yr_Maturity Mon_Chg,5yr_Maturity Per_Mon_Chg,5yr_Maturity Yr_Chg,5yr_Maturity Per_Yr_Chg,10yr_Maturity,10yr_Maturity Mon_Chg,10yr_Maturity Per_Mon_Chg,10yr_Maturity Yr_Chg,10yr_Maturity Per_Yr_Chg,30yr_Maturity,30yr_Maturity Mon_Chg,30yr_Maturity Per_Mon_Chg,30yr_Maturity Yr_Chg,30yr_Maturity Per_Yr_Chg
2007-09-01,4.2,-0.2299999999999995,-5.191873589164776,-0.4699999999999997,-10.064239828693786,4.59,0.0499999999999998,1.1013215859030798,-0.0499999999999998,-1.077586206896548,4.79,-0.1399999999999996,-2.839756592292083,-0.0599999999999996,-1.2371134020618475
2007-10-01,4.2,0.0,0.0,-0.4900000000000002,-10.447761194029855,4.48,-0.1099999999999994,-2.396514161220032,-0.1299999999999999,-2.819956616052058,4.77,-0.0200000000000004,-0.4175365344467737,-0.08,-1.6494845360824757
2007-11-01,3.67,-0.5300000000000002,-12.619047619047624,-0.91,-19.868995633187776,3.97,-0.5100000000000002,-11.383928571428577,-0.4899999999999997,-10.986547085201789,4.52,-0.25,-5.241090146750524,-0.1700000000000008,-3.624733475479761
2007-12-01,3.49,-0.1799999999999997,-4.904632152588548,-1.04,-22.958057395143488,4.04,0.0699999999999998,1.7632241813601974,-0.6699999999999999,-14.225053078556265,4.53,0.0100000000000006,0.2212389380531123,-0.1499999999999994,-3.2051282051281937
2008-01-01,2.98,-0.5100000000000002,-14.61318051575932,-1.77,-37.26315789473684,3.67,-0.3700000000000001,-9.15841584158416,-1.16,-24.01656314699793,4.33,-0.2000000000000001,-4.415011037527598,-0.5199999999999996,-10.721649484536076
2008-02-01,2.78,-0.2000000000000001,-6.71140939597316,-1.93,-40.976645435244166,3.53,-0.1400000000000001,-3.814713896457769,-1.0299999999999998,-22.587719298245613,4.52,0.1899999999999995,4.3879907621247005,-0.3000000000000007,-6.224066390041508
2008-03-01,2.48,-0.2999999999999998,-10.791366906474812,-2.0000000000000004,-44.64285714285715,3.45,-0.0799999999999996,-2.2662889518413496,-1.2000000000000002,-25.806451612903224,4.39,-0.1299999999999999,-2.8761061946902635,-0.33,-6.991525423728816
2008-04-01,2.84,0.3599999999999999,14.51612903225806,-1.75,-38.12636165577342,3.77,0.3199999999999998,9.275362318840576,-0.8599999999999999,-18.574514038876888,4.44,0.0500000000000007,1.1389521640091278,-0.4299999999999997,-8.829568788501021
2008-05-01,3.15,0.31,10.915492957746482,-1.52,-32.54817987152035,4.06,0.2899999999999996,7.692307692307682,-0.8400000000000007,-17.142857142857157,4.6,0.1599999999999992,3.6036036036035854,-0.3000000000000007,-6.122448979591851
2008-06-01,3.49,0.3400000000000003,10.793650793650803,-1.54,-30.616302186878723,3.99,-0.0699999999999994,-1.7241379310344682,-1.04,-20.675944333996025,4.69,0.0900000000000007,1.9565217391304512,-0.5099999999999998,-9.807692307692305
2008-07-01,3.3,-0.1900000000000004,-5.444126074498578,-1.58,-32.37704918032787,3.99,0.0,0.0,-0.79,-16.527196652719663,4.57,-0.1200000000000001,-2.558635394456292,-0.54,-10.567514677103718
2008-08-01,3.14,-0.1599999999999997,-4.84848484848484,-1.2899999999999996,-29.119638826185096,3.83,-0.1600000000000001,-4.010025062656645,-0.71,-15.638766519823788,4.5,-0.0700000000000002,-1.5317286652078836,-0.4299999999999997,-8.722109533468554
2008-09-01,2.88,-0.2600000000000002,-8.28025477707007,-1.3200000000000005,-31.428571428571438,3.85,0.02,0.522193211488251,-0.7399999999999998,-16.12200435729847,4.27,-0.2300000000000004,-5.1111111111111205,-0.5200000000000005,-10.855949895615876
2008-10-01,2.73,-0.1499999999999999,-5.20833333333333,-1.4700000000000002,-35.0,4.01,0.1599999999999997,4.155844155844148,-0.4700000000000006,-10.49107142857144,4.17,-0.0999999999999996,-2.341920374707252,-0.5999999999999996,-12.578616352201252
2008-11-01,2.29,-0.4399999999999999,-16.117216117216117,-1.38,-37.60217983651226,2.93,-1.0799999999999996,-26.93266832917705,-1.04,-26.19647355163728,4.0,-0.1699999999999999,-4.0767386091127085,-0.5199999999999996,-11.504424778761054
2008-12-01,1.52,-0.77,-33.624454148471614,-1.97,-56.446991404011456,2.25,-0.6800000000000002,-23.208191126279868,-1.79,-44.306930693069305,2.87,-1.13,-28.25,-1.66,-36.64459161147903
2009-01-01,1.6,0.08,5.263157894736847,-1.38,-46.30872483221476,2.87,0.6200000000000001,27.55555555555556,-0.7999999999999998,-21.7983651226158,3.13,0.2599999999999998,9.059233449477343,-1.2000000000000002,-27.71362586605081
2009-02-01,1.87,0.27,16.875,-0.9099999999999996,-32.73381294964028,3.02,0.1499999999999999,5.226480836236931,-0.5099999999999998,-14.447592067988662,3.59,0.4599999999999999,14.696485623003197,-0.9299999999999996,-20.57522123893805
