observation_date,CSUSHPISA,Change from Last Month,Percent Change from Last Month,Change From Year Ago,Percent Change From Year Ago
2000-01-01,100.552,0.0,0.0,,
2000-02-01,101.339,0.7869999999999919,0.7826796085607366,,
2000-03-01,102.127,0.7879999999999967,0.7775880954025565,,
2000-04-01,102.922,0.7950000000000017,0.7784425274413248,,
2000-05-01,103.677,0.7550000000000097,0.7335652241503369,,
2000-06-01,104.423,0.7459999999999951,0.7195424250315837,,
2000-07-01,105.053,0.6299999999999955,0.603315361558273,,
2000-08-01,105.767,0.7139999999999986,0.6796569350708677,,
2000-09-01,106.537,0.7700000000000102,0.7280153545056683,,
2000-10-01,107.38,0.8429999999999893,0.7912743929339001,,
2000-11-01,108.3,0.9200000000000016,0.8567703482957736,,
2000-12-01,109.138,0.8380000000000081,0.7737765466297397,,
2001-01-01,109.846,0.7079999999999984,0.6487199692132881,9.293999999999995,9.24297875725992
2001-02-01,110.499,0.6529999999999916,0.5944686197039415,9.159999999999997,9.0389682155932
2001-03-01,111.107,0.6080000000000041,0.550231223811984,8.980000000000004,8.79297345462023
2001-04-01,111.65,0.5430000000000064,0.4887180825690607,8.728000000000009,8.48020831309147
2001-05-01,112.162,0.5120000000000005,0.4585759068517693,8.485,8.18407168417296
2001-06-01,112.795,0.6329999999999956,0.5643622617285672,8.372,8.017390804707771
2001-07-01,113.491,0.695999999999998,0.6170486280420213,8.438000000000002,8.03213615984313
2001-08-01,114.167,0.6760000000000019,0.5956419451762711,8.400000000000006,7.94198568551628
2001-09-01,114.811,0.6440000000000055,0.5640859442746201,8.274000000000001,7.76631592779973
2001-10-01,115.308,0.4969999999999999,0.4328853507068137,7.9280000000000115,7.3831253492270505
2001-11-01,115.854,0.5459999999999923,0.4735144135706041,7.554000000000002,6.975069252077561
2001-12-01,116.452,0.597999999999999,0.5161668997186105,7.313999999999993,6.70160713958473
2002-01-01,117.143,0.6910000000000025,0.5933775289389641,7.296999999999997,6.6429364747009405
2002-02-01,117.845,0.7019999999999982,0.5992675618688255,7.346000000000004,6.64802396401777
2002-03-01,118.688,0.8430000000000035,0.7153464296321469,7.581000000000003,6.823152456640889
2002-04-01,119.611,0.9230000000000018,0.777669183068214,7.9609999999999985,7.13031795790416
2002-05-01,120.724,1.1129999999999995,0.9305164240747084,8.561999999999998,7.63360139797792
2002-06-01,121.812,1.087999999999994,0.901229250190512,9.016999999999996,7.994148676803039
2002-07-01,122.887,1.0750000000000028,0.8825074705283575,9.396,8.27907058709501
2002-08-01,123.83,0.9429999999999978,0.7673716503779878,9.662999999999997,8.4639168936733
2002-09-01,124.778,0.9480000000000076,0.7655656949043104,9.967,8.681223924536841
2002-10-01,125.733,0.9549999999999984,0.7653592780778649,10.424999999999995,9.04100322614215
2002-11-01,126.667,0.9339999999999976,0.7428439630009603,10.813000000000002,9.3332988071193
2002-12-01,127.621,0.9539999999999936,0.753155912747593,11.168999999999995,9.59107615154741
2003-01-01,128.46,0.8390000000000128,0.6574153156612257,11.317000000000007,9.6608418770221
2003-02-01,129.355,0.8949999999999818,0.696714930717719,11.509999999999993,9.76706690992404
2003-03-01,130.147,0.7920000000000016,0.6122685632561569,11.458999999999987,9.654724993259629
2003-04-01,130.884,0.7369999999999948,0.5662827418227042,11.272999999999982,9.42471846234876
2003-05-01,131.734,0.8500000000000227,0.6494300296445882,11.010000000000003,9.119976143931611
2003-06-01,132.649,0.914999999999992,0.69458150515432,10.837000000000003,8.896496240107709
2003-07-01,133.775,1.1260000000000048,0.8488567573068811,10.888000000000003,8.860172353462941
2003-08-01,134.967,1.1920000000000073,0.8910484021678245,11.137000000000016,8.99378179762579
2003-09-01,136.293,1.3259999999999934,0.9824623796928088,11.515,9.22838961996505
2003-10-01,137.532,1.2390000000000043,0.9090708987255428,11.799000000000008,9.38417121996612
2003-11-01,138.794,1.2620000000000005,0.9176046301951548,12.12700000000001,9.57392217388902
2003-12-01,140.18,1.3859999999999957,0.9986022450538176,12.559000000000012,9.840856912263659
2004-01-01,141.647,1.4669999999999843,1.0465116279069655,13.186999999999983,10.26545228086562
2004-02-01,143.192,1.545000000000016,1.090739655622792,13.837000000000018,10.69691933052454
2004-03-01,145.059,1.8669999999999904,1.3038437901558677,14.912000000000006,11.4578130882771
2004-04-01,146.592,1.5330000000000157,1.0568113664095409,15.708000000000029,12.001466947831679
2004-05-01,148.183,1.5909999999999798,1.0853252564942013,16.448999999999984,12.48652587790546
2004-06-01,149.847,1.6640000000000157,1.1229358293461569,17.198000000000008,12.965043083626721
2004-07-01,151.335,1.4879999999999995,0.9930128731305928,17.560000000000002,13.12651840777424
2004-08-01,152.631,1.2959999999999925,0.8563782337198877,17.663999999999987,13.08764364622462
2004-09-01,154.177,1.5459999999999925,1.012900393760109,17.883999999999986,13.121730389675172
2004-10-01,155.75,1.5730000000000075,1.020255939601891,18.21799999999999,13.24637175348281
2004-11-01,157.528,1.7779999999999916,1.1415730337078598,18.73399999999998,13.497701629753431
2004-12-01,159.33,1.802000000000021,1.143923619927899,19.15000000000001,13.66100727635897
2005-01-01,161.288,1.9579999999999984,1.228896002008409,19.64100000000002,13.86616024342204
2005-02-01,163.344,2.055999999999983,1.2747383562323191,20.151999999999987,14.073411922453749
2005-03-01,165.812,2.4680000000000177,1.5109217357233922,20.75300000000001,14.306592489952369
2005-04-01,167.501,1.688999999999993,1.0186235013147378,20.908999999999992,14.263397729753319
2005-05-01,169.351,1.8499999999999943,1.1044710180834707,21.168000000000006,14.28503944447069
2005-06-01,171.19,1.8389999999999984,1.085910328253154,21.34299999999999,14.24319472528645
2005-07-01,172.859,1.6690000000000111,0.9749401250073084,21.524,14.222750850761551
2005-08-01,174.442,1.5829999999999984,0.91577528505892,21.811000000000007,14.29001972076446
2005-09-01,176.437,1.9950000000000043,1.1436465988695408,22.26000000000002,14.43795118597457
2005-10-01,178.028,1.5909999999999798,0.901738297522617,22.27799999999999,14.303691813804159
2005-11-01,179.681,1.65300000000002,0.9285056283281394,22.15300000000002,14.062896754862638
2005-12-01,180.91,1.228999999999985,0.6839899599846311,21.579999999999984,13.54421640620095
2006-01-01,182.32,1.4099999999999966,0.779393068376539,21.031999999999982,13.04002777639996
2006-02-01,183.286,0.9660000000000082,0.5298376480912725,19.942000000000007,12.20859045939857
2006-03-01,184.363,1.0769999999999982,0.5876062547057594,18.550999999999988,11.187971920005781
2006-04-01,184.329,-0.0339999999999918,-0.0184418782510546,16.828000000000003,10.04650718503173
2006-05-01,184.156,-0.1730000000000018,-0.0938539242333012,14.805000000000009,8.74219815649155
2006-06-01,183.507,-0.6490000000000009,-0.3524186016203658,12.317000000000007,7.19492961037444
2006-07-01,183.069,-0.4380000000000166,-0.2386829930193489,10.20999999999998,5.906548111466551
2006-08-01,182.596,-0.4729999999999847,-0.2583725262059577,8.153999999999996,4.67433301613143
2006-09-01,182.801,0.204999999999984,0.1122697101798418,6.363999999999976,3.6069531900904996
2006-10-01,183.202,0.4010000000000104,0.2193642266727263,5.174000000000007,2.90628440470038
2006-11-01,183.612,0.4099999999999966,0.2237966834423186,3.930999999999983,2.18776609658226
2006-12-01,184.141,0.5289999999999964,0.2881075310981833,3.2309999999999945,1.7859709247692102
2007-01-01,184.519,0.3780000000000143,0.2052774775851192,2.1990000000000123,1.20612110574814
2007-02-01,184.599,0.079999999999984,0.0433559687620158,1.3129999999999882,0.71636677105724
