DATE,CPIAUCSL_NBD20000101,Monthly Change,Percent Monthly Change,Yearly Change,Percent Yearly Change
2000-01-01,100.0,0.0,0.0,,
2000-02-01,100.41347,0.4134700000000038,0.004134700000000038,,
2000-03-01,101.00413,0.5906599999999997,0.0058822785429086324,,
2000-04-01,100.94507,-0.05906000000000233,-0.0005847285650596894,,
2000-05-01,101.12227,0.17719999999999914,0.001755410145339432,,
2000-06-01,101.71294,0.5906700000000029,0.005841146564451163,,
2000-07-01,102.00827,0.29532999999999276,0.0029035636960252327,,
2000-08-01,102.00827,0.0,0.0,,
2000-09-01,102.53987,0.5315999999999974,0.005211342178433154,,
2000-10-01,102.71707,0.17720000000001335,0.0017281082958269145,,
2000-11-01,102.89427,0.17719999999999914,0.0017251270893922416,,
2000-12-01,103.13054,0.23626999999999043,0.00229624059726543,,
2001-01-01,103.7212,0.5906599999999997,0.005727304443475228,3.721199999999996,3.721199999999996
2001-02-01,103.95747,0.23627000000000464,0.0022779335372132663,3.543999999999997,3.5294069610381924
2001-03-01,104.01654,0.05907000000000551,0.0005682131356217644,3.0124100000000027,2.9824622022881666
2001-04-01,104.19374,0.17719999999999914,0.0017035752198640633,3.248670000000004,3.2182552352482436
2001-05-01,104.72534,0.5315999999999974,0.005102033960965384,3.6030700000000024,3.563082592983724
2001-06-01,104.96161,0.23626999999999043,0.0022560919830863324,3.24866999999999,3.193959391990822
2001-07-01,104.78441,-0.17719999999999914,-0.0016882362989668236,2.776139999999998,2.721485228599601
2001-08-01,104.78441,0.0,0.0,2.776139999999998,2.721485228599601
2001-09-01,105.19787,0.4134600000000006,0.0039458159854123395,2.6580000000000013,2.592162443740178
2001-10-01,104.90254,-0.29532999999999276,-0.002807376232997805,2.185469999999995,2.127659988743833
2001-11-01,104.84347,-0.05907000000000551,-0.0005630940871403638,1.9491999999999905,1.894371766280076
2001-12-01,104.78441,-0.05906000000000233,-0.0005633159604503965,1.6538699999999977,1.6036665763604048
2002-01-01,104.96161,0.17719999999999914,0.0016910912606178643,1.2404099999999971,1.1959078761140414
2002-02-01,105.13881,0.17720000000001335,0.0016882362989669591,1.1813400000000058,1.1363685553332585
2002-03-01,105.43414,0.29532999999999276,0.0028089532304958822,1.417599999999993,1.3628601758912506
2002-04-01,105.90667,0.4725300000000061,0.004481755150656193,1.71293,1.6439855215869974
2002-05-01,106.02481,0.1181399999999968,0.0011155104772909658,1.2994699999999995,1.2408362675165336
2002-06-01,106.08387,0.05906000000000233,0.000557039432563023,1.1222600000000114,1.0692099711504153
2002-07-01,106.32014,0.23626999999999043,0.0022272000446438315,1.535730000000001,1.4656092447340219
2002-08-01,106.61548,0.29534000000001015,0.002777836823766505,1.831070000000011,1.7474641504399473
2002-09-01,106.79268,0.17719999999999914,0.0016620475750800834,1.5948100000000096,1.5160097823273508
2002-10-01,107.02894,0.23626000000000147,0.0022123239158339456,2.126400000000004,2.0270243218133746
2002-11-01,107.20614,0.17719999999999914,0.0016556269734148458,2.3626700000000085,2.2535213685697433
2002-12-01,107.38334,0.17719999999999914,0.0016528904034787478,2.59893000000001,2.480264001104754
2003-01-01,107.85588,0.4725399999999951,0.004400496389849627,2.894270000000006,2.7574557974101253
2003-02-01,108.44654,0.5906599999999997,0.005476382001611778,3.3077299999999923,3.1460599563567366
2003-03-01,108.62374,0.17719999999999914,0.0016339848186949914,3.1895999999999987,3.025206067029141
2003-04-01,108.21028,-0.4134600000000006,-0.0038063502508751826,2.303609999999992,2.175132123406384
2003-05-01,108.03308,-0.17719999999999914,-0.0016375523656347543,2.008269999999996,1.8941510010722924
2003-06-01,108.15121,0.11813000000000784,0.0010934613731276369,2.0673400000000015,1.9487788294299608
2003-07-01,108.50561,0.35439999999999827,0.0032768935271274197,2.1854700000000093,2.0555559840308804
2003-08-01,108.97815,0.4725399999999951,0.004354982198616229,2.3626699999999943,2.216066559940446
2003-09-01,109.33255,0.35439999999999827,0.0032520280441537893,2.5398699999999934,2.3783184390540564
2003-10-01,109.21441,-0.1181399999999968,-0.0010805565222799323,2.185469999999995,2.0419430483007632
2003-11-01,109.27348,0.05907000000000551,0.0005408626938515303,2.0673400000000015,1.9283783559411813
2003-12-01,109.56881,0.29532999999999276,0.0027026685706357367,2.185469999999995,2.0352039711187926
2004-01-01,110.04135,0.4725399999999951,0.004312723666525128,2.185469999999995,2.026287301165217
2004-02-01,110.27761,0.23626000000000147,0.0021470111008271117,1.8310699999999969,1.6884540530292595
2004-03-01,110.51388,0.23627000000000464,0.002142502000179408,1.8901400000000024,1.7400800230225937
2004-04-01,110.69108,0.17719999999999914,0.0016034185027256228,2.480800000000002,2.292573311888669
2004-05-01,111.16361,0.4725300000000061,0.004268907666272712,3.1305300000000074,2.8977513183924843
2004-06-01,111.57708,0.41346999999998957,0.003719472586397559,3.425869999999989,3.1676668249943654
2004-07-01,111.69522,0.11814000000001101,0.001058819607037673,3.189610000000002,2.9395807276692896
2004-08-01,111.75428,0.05905999999998812,0.0005287603175855521,2.776129999999995,2.547418909203354
2004-09-01,112.10868,0.3544000000000125,0.0031712431953390286,2.776130000000009,2.5391614848460127
2004-10-01,112.69935,0.5906699999999887,0.005268726739089147,3.4849399999999946,3.1909159240067266
2004-11-01,113.23095,0.5316000000000116,0.004716974853892339,3.9574700000000007,3.6216198111380735
2004-12-01,113.23095,0.0,0.0,3.662140000000008,3.3423197714751196
