DATE,CUSR0000SEHA_NBD20000101,Monthly Change,Monthly Percent Change,Yearly Change,Percent Yearly Change
2000-01-01,100.0,0.0,0.0,,
2000-02-01,100.22112,0.2211199999999991,0.2211199999999991,,
2000-03-01,100.55279,0.3316700000000026,0.33093822938718165,,
2000-04-01,100.77391,0.2211199999999991,0.21990439051964555,,
2000-05-01,101.0503,0.27638999999999214,0.27426741703283336,,
2000-06-01,101.38198,0.33168000000000575,0.32823257328281635,,
2000-07-01,101.76893,0.3869499999999988,0.38167532336614335,,
2000-08-01,102.15589,0.38696000000000197,0.38023392797782385,,
2000-09-01,102.48756,0.3316700000000026,0.3246704619772806,,
2000-10-01,102.87452,0.38696000000000197,0.3775677750548476,,
2000-11-01,103.20619,0.3316700000000026,0.3224024763371946,,
2000-12-01,103.59315,0.38695999999998776,0.37493875125124543,,
2001-01-01,103.92482,0.3316700000000026,0.32016595691896865,3.924819999999997,3.924819999999997
2001-02-01,104.31177,0.3869499999999988,0.37233646399387443,4.090649999999997,4.0816247114380655
2001-03-01,104.75401,0.4422399999999982,0.4239598273521753,4.201219999999992,4.178123749723894
2001-04-01,105.14096,0.386950000000013,0.36938920047071516,4.367050000000006,4.333512513308262
2001-05-01,105.63847,0.49750999999999124,0.4731838096209044,4.588170000000005,4.540481324647236
2001-06-01,106.02543,0.38696000000000197,0.3663059489596943,4.643450000000001,4.5801531988229085
2001-07-01,106.41238,0.3869499999999988,0.3649596139341277,4.643450000000001,4.562738352461799
2001-08-01,106.79934,0.38696000000000197,0.3636418995609364,4.643450000000001,4.545454990407309
2001-09-01,107.24157,0.442229999999995,0.414075592601972,4.754009999999994,4.638621506844337
2001-10-01,107.62852,0.3869499999999988,0.3608209018200673,4.753999999999991,4.621163724506312
2001-11-01,108.01548,0.38696000000000197,0.35953295650632566,4.80928999999999,4.659885225876461
2001-12-01,108.45771,0.4422300000000092,0.40941353961488597,4.8645600000000115,4.695831722464287
2002-01-01,108.78939,0.33167999999999154,0.3058150499397337,4.8645700000000005,4.680854871819841
2002-02-01,109.17634,0.3869499999999988,0.35568725957558806,4.8645700000000005,4.663490994352795
2002-03-01,109.50802,0.33168000000000575,0.30380208752189874,4.754010000000008,4.538260635559448
2002-04-01,109.72913,0.22110999999999592,0.2019121521875712,4.588169999999991,4.363827379928803
2002-05-01,109.95025,0.2211199999999991,0.20151440187304784,4.311779999999999,4.081638062346037
2002-06-01,110.28192,0.3316700000000026,0.30165461197223525,4.256489999999999,4.014593480073601
2002-07-01,110.55832,0.2763999999999953,0.25063038438213203,4.145939999999996,3.8961068251645115
2002-08-01,110.72416,0.16584000000000287,0.15000227933999258,3.924819999999997,3.674947803984553
2002-09-01,111.00055,0.27639000000000635,0.24962031773373253,3.758980000000008,3.5051519667233597
2002-10-01,111.27695,0.2763999999999953,0.2490077751866953,3.6484300000000047,3.38983570525731
2002-11-01,111.60862,0.3316700000000026,0.298058133333096,3.5931400000000053,3.326504682476998
2002-12-01,111.88502,0.2763999999999953,0.24765112228786207,3.4273099999999914,3.160042748459276
2003-01-01,112.32725,0.4422300000000092,0.3952539848498121,3.537860000000009,3.252026691205833
2003-02-01,112.49309,0.16583999999998866,0.14764004282129994,3.316749999999999,3.0379750777503616
2003-03-01,112.76949,0.2764000000000095,0.24570398057339304,3.2614700000000028,2.9782932793415524
2003-04-01,113.04588,0.27638999999999214,0.24509288815617783,3.316749999999999,3.02267046134422
2003-05-01,113.32228,0.2764000000000095,0.2445024975700216,3.3720300000000094,3.0668688793340713
2003-06-01,113.48811,0.1658299999999997,0.14633486018812866,3.2061900000000065,2.9072671204853946
2003-07-01,113.76451,0.2763999999999953,0.2435497427880289,3.2061900000000065,2.899998842240011
2003-08-01,113.98563,0.2211199999999991,0.19436641532583324,3.2614700000000028,2.945581163135492
2003-09-01,114.26202,0.27639000000000635,0.2424779334026634,3.2614700000000028,2.938246702381207
2003-10-01,114.37258,0.11055999999999244,0.09676006077959451,3.09563,2.7819148529861755
2003-11-01,114.64898,0.2763999999999953,0.24166631547526105,3.0403599999999926,2.724126505640866
2003-12-01,114.81481,0.1658299999999997,0.14464149615635455,2.929789999999997,2.6185721734687957
2004-01-01,115.03593,0.2211199999999991,0.19258839517306095,2.708679999999987,2.411418422511
2004-02-01,115.31233,0.2764000000000095,0.24027275652051455,2.8192400000000077,2.506145044108939
2004-03-01,115.58872,0.27638999999999214,0.239688158239446,2.8192299999999904,2.499993570956107
2004-04-01,115.9204,0.33168000000000575,0.286948415035659,2.874520000000004,2.5427905908645267
2004-05-01,116.25207,0.3316700000000026,0.2861187504528992,2.929789999999997,2.5853609722642332
